Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Jalisco,ZM Guadalajara,Ultrapasteurizada,Autoservicios,5,8,2025,1,37.9,37.9,37.89999999999997
Jalisco,ZM Guadalajara,Ultrapasteurizada,Tiendas,5,8,2025,1,32.64,32.63999999999999,32.67315414320021
Michoacán,Morelia,Pasteurizada,Autoservicios,5,8,2025,1,28.55,28.44714285714286,28.52005160784477
Michoacán,Morelia,Pasteurizada,Tiendas,5,8,2025,1,28.2,28.199999999999996,28.180452229001617
Michoacán,Morelia,Ultrapasteurizada,Autoservicios,5,8,2025,1,33.97,33.44714285714286,33.872236703790314
Michoacán,Morelia,Ultrapasteurizada,Tiendas,5,8,2025,1,28.75,28.75,28.763054735986447
Morelos,Cuernavaca,Pasteurizada,Autoservicios,5,8,2025,1,29.08,29.07999999999999,29.097945519516866
Morelos,Cuernavaca,Pasteurizada,Tiendas,5,8,2025,1,29.33,29.141428571428566,29.260762929374376
Morelos,Cuernavaca,Ultrapasteurizada,Autoservicios,5,8,2025,1,33.42,33.49142857142858,33.50568031234032
Morelos,Cuernavaca,Ultrapasteurizada,Tiendas,5,8,2025,1,29.17,29.09714285714286,29.177275053418953
Nayarit,Tepic,Pasteurizada,Autoservicios,5,8,2025,1,28.4,27.225714285714286,28.26941778863016
Nayarit,Tepic,Pasteurizada,Tiendas,5,8,2025,1,25.98,26.46,26.381754363799487
Nayarit,Tepic,Ultrapasteurizada,Autoservicios,5,8,2025,1,29.35,28.338571428571434,29.211418902435824
Nayarit,Tepic,Ultrapasteurizada,Tiendas,5,8,2025,1,27.22,26.320000000000004,26.994151817086305
Nuevo León,Monterrey,Pasteurizada,Autoservicios,5,8,2025,1,27.9,27.900000000000002,27.89554679846144
Nuevo León,Monterrey,Pasteurizada,Tiendas,5,8,2025,1,29.75,29.75,29.75030819095713
Nuevo León,Monterrey,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.77,35.00714285714286,34.84582862691153
Nuevo León,Monterrey,Ultrapasteurizada,Tiendas,5,8,2025,1,40.0,40.0,40.0
Nuevo León,ZM Monterrey,Pasteurizada,Autoservicios,5,8,2025,1,26.3,26.300000000000004,26.309071935873266
Nuevo León,ZM Monterrey,Pasteurizada,Tiendas,5,8,2025,1,29.75,29.75,29.75030819095713
Nuevo León,ZM Monterrey,Ultrapasteurizada,Autoservicios,5,8,2025,1,36.13,36.13,36.111021739540604
Nuevo León,ZM Monterrey,Ultrapasteurizada,Tiendas,5,8,2025,1,37.38,37.38,37.37084406980479
Oaxaca,Oaxaca,Pasteurizada,Autoservicios,5,8,2025,1,35.0,34.64142857142857,34.88031140712066
Oaxaca,Oaxaca,Pasteurizada,Tiendas,5,8,2025,1,30.17,29.981428571428573,30.019773184777595
Oaxaca,Oaxaca,Ultrapasteurizada,Autoservicios,5,8,2025,1,35.05,34.71999999999999,34.88237172957249
Oaxaca,Oaxaca,Ultrapasteurizada,Tiendas,5,8,2025,1,29.73,30.19142857142857,29.98303458423002
Puebla,Puebla,Pasteurizada,Autoservicios,5,8,2025,1,30.52,30.532857142857146,30.52203718083122
Puebla,Puebla,Pasteurizada,Tiendas,5,8,2025,1,29.25,29.25,29.254251500267028
Puebla,Puebla,Ultrapasteurizada,Autoservicios,5,8,2025,1,32.98,33.051428571428566,33.092427802231704
Puebla,Puebla,Ultrapasteurizada,Tiendas,5,8,2025,1,35.38,35.38,35.38048958404894
Puebla,ZM Puebla,Pasteurizada,Autoservicios,5,8,2025,1,29.07,29.58428571428572,29.31633475122353
Puebla,ZM Puebla,Pasteurizada,Tiendas,5,8,2025,1,30.65,30.650000000000002,30.654930584685292
Puebla,ZM Puebla,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.25,34.08428571428571,34.29657187225606
Puebla,ZM Puebla,Ultrapasteurizada,Tiendas,5,8,2025,1,29.25,29.232857142857142,29.2435452308022
Querétaro,Querétaro,Pasteurizada,Autoservicios,5,8,2025,1,29.97,29.958571428571428,29.94244245129852
Querétaro,Querétaro,Pasteurizada,Tiendas,5,8,2025,1,29.52,29.53571428571429,29.52559028717211
Querétaro,Querétaro,Ultrapasteurizada,Autoservicios,5,8,2025,1,29.98,30.024285714285714,30.073551721411285
Querétaro,Querétaro,Ultrapasteurizada,Tiendas,5,8,2025,1,29.82,29.779999999999998,29.822508699413056
Quintana Roo,Cancún,Ultrapasteurizada,Autoservicios,5,8,2025,1,32.05,32.02857142857143,32.04067276651538
Quintana Roo,Cancún,Ultrapasteurizada,Tiendas,5,8,2025,1,33.13,33.14714285714285,33.149995079282256
Quintana Roo,Chetumal,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.33,34.57285714285714,34.48117661456669
Quintana Roo,Chetumal,Ultrapasteurizada,Tiendas,5,8,2025,1,28.0,27.142857142857142,28.101655499267142
San Luis Potosí,San Luis Potosí,Pasteurizada,Autoservicios,5,8,2025,1,27.17,27.07285714285715,27.111089425011887
San Luis Potosí,San Luis Potosí,Pasteurizada,Tiendas,5,8,2025,1,26.44,26.44,26.448853010112014
San Luis Potosí,San Luis Potosí,Ultrapasteurizada,Autoservicios,5,8,2025,1,31.8,31.79857142857143,31.818743941018873
San Luis Potosí,San Luis Potosí,Ultrapasteurizada,Tiendas,5,8,2025,1,27.25,27.25,27.24095666192318
Sinaloa,Culiacán,Pasteurizada,Autoservicios,5,8,2025,1,26.98,26.979999999999997,26.991451313062555
Sinaloa,Culiacán,Pasteurizada,Tiendas,5,8,2025,1,31.39,31.389999999999993,31.39223505021494
